osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1008781241,27.253733,75.9745681,MINING,,,,,quarry,,
way_1008781242,27.2447575,75.9772396,MINING,,,,,quarry,,
way_1008781243,27.2467416,75.9708077,MINING,,,,,quarry,,
way_1008781244,27.2704181,75.9221202,MINING,,,,,quarry,,
way_1008781247,27.2376416,75.9172761,MINING,,,,,quarry,,
way_1008781248,27.2454539,75.9242499,MINING,,,,,quarry,,
way_1008781255,27.2542671,75.9310305,MINING,,,,,quarry,,
way_1008781256,27.2468464,75.9478533,MINING,,,,,quarry,,
way_1008781265,27.1971213,75.7633817,MINING,,,,,quarry,,
way_1008781281,27.4523514,75.8777941,MINING,,,,,quarry,,
way_1008892012,27.1072889,76.2449831,MINING,Dagota,,,,quarry,,
way_1008892013,27.0825316,76.1818278,MINING,,,,,quarry,,
way_1008892021,27.2363337,76.2262344,MINING,,,,,quarry,,
way_1008908282,27.0859513,76.2012362,MINING,,,,,quarry,,
way_1009018748,27.1022032,76.4873958,MINING,,,,,quarry,,
way_1009018749,27.1078571,76.5001738,MINING,,,,,quarry,,
way_1009018752,27.0929577,76.5131611,MINING,,,,,quarry,,
way_1009018753,27.0805113,76.5111226,MINING,,,,,quarry,,
way_1009018755,27.0851012,76.4773267,MINING,,,,,quarry,,
way_1009018758,27.1632111,76.4154804,MINING,,,,,quarry,,
way_1009018760,27.1375306,76.3736915,MINING,,,,,quarry,,
way_1009018761,27.1424094,76.3810945,MINING,,,,,quarry,,
way_1009019995,27.3765977,76.1129057,MINING,,,,,quarry,,
way_1009020000,27.1820477,76.3970214,MINING,,,,,quarry,,
way_1009020001,27.1957756,76.390568,MINING,,,,,quarry,,
way_1009020002,27.2127845,76.3936633,MINING,,,,,quarry,,
way_1009020003,27.2159474,76.4100193,MINING,,,,,quarry,,
way_1014997061,28.802138,80.5990317,MINING,,,,,quarry,,
way_1014997062,28.802695,80.6054257,MINING,,,,,quarry,,
way_1015234608,28.8441754,80.5106744,MINING,,,,,quarry,,
way_1015234610,28.8302683,80.520266,MINING,,,,,quarry,,
way_1015244107,28.8404975,80.5138529,MINING,,,,,quarry,,
way_1016554172,28.5765273,81.5992782,MINING,,,,,quarry,,
way_1019721031,28.0018402,84.3159538,MINING,,,,,quarry,,
way_1019781351,23.538984,84.6882763,MINING,,,,,quarry,,
way_1019781352,23.5388288,84.6870197,MINING,,,,,quarry,,
way_1019781364,23.5690589,84.7548245,MINING,,,,,quarry,,
way_1019781365,23.5703094,84.7546167,MINING,,,,,quarry,,
way_1019781371,23.5020835,84.719161,MINING,,,,,quarry,,
way_1019784454,23.5618916,84.732417,MINING,,,,,quarry,,
way_1019784455,23.5527777,84.7228931,MINING,,,,,quarry,,
way_1019784555,23.5728225,84.7336452,MINING,,,,,quarry,,
way_1019784558,23.5634513,84.71749,MINING,,,,,quarry,,
way_1019784559,23.5638731,84.7167384,MINING,,,,,quarry,,
way_1019978387,28.2470336,81.2826155,MINING,,,,,quarry,,
way_1025255053,26.1996416,74.5101678,MINING,,,,,quarry,,
way_1025580664,24.9257694,74.5721805,MINING,,,,,quarry,,
way_1025580665,24.9516276,74.548738,MINING,,,,,quarry,,
way_1025580670,24.973532,74.6714544,MINING,,,,,quarry,,
way_1025580671,24.9722578,74.6563053,MINING,,,,,quarry,,
way_1025580672,24.9643115,74.6961629,MINING,,,,,quarry,,
way_1026514188,24.5500166,74.8613548,MINING,,,,,quarry,,
way_1026817347,23.7040423,84.6866311,MINING,,,,,quarry,,
way_1026817352,23.7284274,84.6608068,MINING,,,,,quarry,,
way_1026817353,23.7295446,84.6597862,MINING,,,,,quarry,,
way_1026817354,23.7119974,84.6583445,MINING,,,,,quarry,,
way_1026817355,23.711362,84.6571262,MINING,,,,,quarry,,
way_1026817356,23.7102427,84.6572817,MINING,,,,,quarry,,
way_1026817362,23.7043456,84.6737511,MINING,,,,,quarry,,
way_1026817366,23.6970427,84.6574688,MINING,,,,,quarry,,
way_1028161128,26.2721649,78.2373548,MINING,,,,,quarry,,
way_1028161149,26.2502426,78.1215691,MINING,,,,,quarry,,
way_1029061102,24.2673738,75.6242367,MINING,,,,,quarry,,
way_1029061103,24.2587896,75.4968734,MINING,,,,,quarry,,
way_1029061104,24.2564849,75.6172576,MINING,,,,,quarry,,
way_1029061105,24.2498356,75.6061345,MINING,,,,,quarry,,
way_1029061106,24.2477177,75.6114507,MINING,,,,,quarry,,
way_1029061107,24.2268651,75.5971572,MINING,,,,,quarry,,
way_1029061108,24.1941189,74.9920052,MINING,,,,,quarry,,
way_1029061109,24.1986744,74.9930459,MINING,,,,,quarry,,
way_1029061110,24.154326,75.0167674,MINING,,,,,quarry,,
way_1029061111,24.1512227,75.1162236,MINING,,,,,quarry,,
way_1029061112,24.1499304,75.1121735,MINING,,,,,quarry,,
way_1029061114,24.1680012,75.5789262,MINING,,,,,quarry,,
way_1029061115,24.1331079,75.2339164,MINING,,,,,quarry,,
way_1029061116,24.1221953,75.3396785,MINING,,,,,quarry,,
way_1029061581,24.4718282,75.1087403,MINING,,,,,quarry,,
way_1029354434,23.5687787,75.08533,MINING,,,,,quarry,,
way_1029354447,23.6848674,75.1390492,MINING,,,,,quarry,,
way_1029354451,23.7293456,75.1734567,MINING,,,,,quarry,,
way_1029358418,23.5688156,75.2446317,MINING,,,,,quarry,,
way_1029358453,23.6665915,75.247845,MINING,,,,,quarry,,
way_1029358454,23.6698636,75.2479953,MINING,,,,,quarry,,
way_1029358455,23.6705564,75.2430171,MINING,,,,,quarry,,
way_1029358469,23.7092991,75.2693295,MINING,,,,,quarry,,
way_1029392915,23.708431,75.3394639,MINING,,,,,quarry,,
way_1029516162,23.5467516,75.5090814,MINING,,,,,quarry,,
