osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1360904231,28.7342079,77.1930943,INDUSTRIAL,Burari Bus Depot 2,bus_depot,,,industrial,,Delhi Transport Corporation
way_1360907369,28.560339,77.0887209,INDUSTRIAL,Delhi Airport Bus Depot,bus_depot,,,industrial,,
way_1360907370,28.5610954,77.0853139,INDUSTRIAL,Delhi Airport Bus Depot,bus_depot,,,industrial,,
way_1360907371,28.5640436,77.086373,INDUSTRIAL,Delhi Airport Bus Depot,bus_depot,,,industrial,,
way_1360909049,26.7638357,80.8855919,INDUSTRIAL,Lucknow Airport Bus Depot,bus_depot,,,industrial,,
way_1361155540,25.3018865,82.9975427,INDUSTRIAL,,,,,industrial,,
way_1361168203,25.2990348,82.9966349,INDUSTRIAL,,,plant,solar,,,
way_1361168204,25.2995184,82.9959855,INDUSTRIAL,,,plant,solar,,,
way_1361611037,25.5053208,78.7460139,INDUSTRIAL,Ash Sedimentation Area,,,,industrial,,
way_1361612882,25.457093,78.5644866,INDUSTRIAL,Guru Nanak Trolley Center,,,,industrial,,
way_1362868968,30.0872409,78.2865242,INDUSTRIAL,Lime factory,factory,,,industrial,,
way_1363055892,30.3744947,75.8672112,INDUSTRIAL,Dhuri Sugar Mill,,,,industrial,,
way_1363346042,25.3387441,82.987373,INDUSTRIAL,,,plant,solar,,,
way_1364273191,25.2800402,82.6848489,INDUSTRIAL,Brick yards,,,,industrial,,
way_1364436963,28.8319041,76.9352887,INDUSTRIAL,IMT Kharkhoda,,,,industrial,,
way_1365512492,28.4969802,77.0679829,INDUSTRIAL,,,,,industrial,,
way_1366742092,30.2604454,76.8550317,INDUSTRIAL,NueGo Depot,bus_depot,,,industrial,,
way_1368794658,30.2686357,74.9287038,INDUSTRIAL,,,,,industrial,,
way_1368794659,30.2623708,74.9249837,INDUSTRIAL,,,,,industrial,,
way_1369003904,28.5112686,77.5162802,INDUSTRIAL,Anchor Container Services Pvt Ltd,,,,industrial,,
way_1369008085,28.5357434,77.531626,INDUSTRIAL,AB Sea Container Private Limited,,,,industrial,,
way_1369024507,28.5242273,77.5225043,INDUSTRIAL,Denso India Pvt Ltd,,,,industrial,,
way_1369120788,29.6849606,80.6498488,INDUSTRIAL,Chameliya HEP,,plant,hydro,,,
way_1369162421,29.6614159,80.8568725,INDUSTRIAL,Upper Sanigad Hydroelectric Project,,plant,hydro,,,
way_1369171556,29.5486985,80.8589458,INDUSTRIAL,Kalanga Gad HEP,,plant,hydro,,,
way_1369180982,25.4213182,82.8737036,INDUSTRIAL,,,plant,solar,,,
way_1369181021,25.4190329,82.8769915,INDUSTRIAL,,,plant,solar,,,
way_1369382765,28.5071271,83.6598345,INDUSTRIAL,Mistri Khola Powerhouse,,plant,hydro,,,
way_1369389229,28.3080127,83.7736568,INDUSTRIAL,,,plant,hydro,,,
way_1369389230,28.2690937,83.7358537,INDUSTRIAL,,,plant,hydro,,,
way_1369391310,27.554975,83.6925682,INDUSTRIAL,Saurya,,plant,solar,,,
way_1369391311,27.554057,83.6879361,INDUSTRIAL,,,plant,solar,,,
way_1369394008,28.2259799,84.4504908,INDUSTRIAL,,,plant,hydro,,,
way_1369394443,28.188636,84.420104,INDUSTRIAL,Middle Marsyandgi HEP,,plant,hydro,,,
way_1369563743,27.6326306,83.4522503,INDUSTRIAL,Butwal Solar Power Project,,plant,solar,,,
way_1369675110,25.3905421,83.1401068,INDUSTRIAL,Brick yards,,,,industrial,,
way_1369675114,25.3936614,83.1439573,INDUSTRIAL,Brick yards,,,,industrial,,
way_1369675115,25.3946093,83.1433787,INDUSTRIAL,Brick yards,,,,industrial,,
way_1369675116,25.3949601,83.1414037,INDUSTRIAL,Brick yards,,,,industrial,,
