grid_id,latitude,longitude,industrial_fire_risk,risk_level,risk_rank,industrial_fire_candidate,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,industrial_context_score,industrial_area_count,factory_count,warehouse_count,power_plant_count,manufacturing_count,refinery_count,storage_count,chemical_count,steel_count,oil_count,gas_count,recent_thermal_score,has_recent_firms,has_industrial_context
25.80_76.60,25.824854922797456,76.62485393278837,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.90_78.25,25.9252723,78.27329756363636,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
24.55_74.80,24.5791039010989,74.80356251831502,0.4432050771865483,LOW,37.0,1,1.0,1.0,0.65,0.65,40.0,1,0,0,0,0,0,0,0,0,0,0,11.457200970484216,1,1
28.05_82.00,28.077296996303144,82.02510268946395,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.15_84.10,25.175942674858224,84.1203870321361,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
26.05_78.75,26.071794182509507,78.77372643536123,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.10_83.85,25.122440133843213,83.87542233269599,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.20_84.00,25.224860192678225,84.02311652215799,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.10_83.90,25.12472406007752,83.92334693798449,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.45_76.55,25.4764753067186,76.58101163583252,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.85_78.25,25.871287671905694,78.27279248526523,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.50_76.55,25.52399039447732,76.57474453648915,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.15_83.75,25.17343465875371,83.77292050445104,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.85_78.60,25.874237768924303,78.62433001992032,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
30.25_75.15,30.273941656686624,75.17473088822355,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1
